Product,SKU,Supplier Code,Brand,Supplier,Category,Tag,3rd Jan 2022,10th Jan 2022,17th Jan 2022,24th Jan 2022,31st Jan 2022,7th Feb 2022,14th Feb 2022,21st Feb 2022,28th Feb 2022,7th Mar 2022,14th Mar 2022,21st Mar 2022,28th Mar 2022,4th Apr 2022,11th Apr 2022,18th Apr 2022,25th Apr 2022,2nd May 2022,9th May 2022,16th May 2022,23rd May 2022,30th May 2022,6th Jun 2022,13th Jun 2022,20th Jun 2022,27th Jun 2022,4th Jul 2022,11th Jul 2022,18th Jul 2022,25th Jul 2022,1st Aug 2022,8th Aug 2022,15th Aug 2022,22nd Aug 2022,29th Aug 2022,5th Sep 2022,12th Sep 2022,19th Sep 2022,26th Sep 2022,3rd Oct 2022,10th Oct 2022,17th Oct 2022,24th Oct 2022,31st Oct 2022,7th Nov 2022,14th Nov 2022,21st Nov 2022,28th Nov 2022,5th Dec 2022,12th Dec 2022,19th Dec 2022,26th Dec 2022,2nd Jan 2023,9th Jan 2023,16th Jan 2023,23rd Jan 2023,30th Jan 2023,6th Feb 2023,13th Feb 2023,20th Feb 2023,27th Feb 2023,6th Mar 2023,13th Mar 2023,20th Mar 2023,27th Mar 2023,3rd Apr 2023,10th Apr 2023,17th Apr 2023,24th Apr 2023,1st May 2023,8th May 2023,15th May 2023,22nd May 2023,29th May 2023,5th Jun 2023,12th Jun 2023,19th Jun 2023,26th Jun 2023,Items Sold,Revenue,Cost of Goods Sold,Gross Profit,Margin (%),Tax
Preloved-Adult,11656,TGC-PL-ADULT,TGCSG,TGCSG,FASHION,"LADIES BASIC WEAR, PRE-LOVED, Wearables",18,28,12,31,15,15,22,5,17,14,21,23,14,12,17,26,9,28,36,18,29,17,14,25,25,16,7,9,17,20,24,25,14,18,18,10,21,27,15,15,6,8,14,13,8,6,25,25,15,24,35,38,34,21,17,22,35,14,37,39,22,28,20,23,27,25,17,14,6,8,15,7,2,14,8,11,4,0,1434,14192.82707,0,14192.82707,1,0
Crystal deodorant stone only [NO POUCH],15371,BSGSPDE0001,Bamboo Straw Girl,Bamboo Straw Girl,HEALTH & WELLNESS,"BATH & BODY, DEODORANT, Personal care",18,17,13,21,14,13,13,2,0,0,8,17,20,8,20,7,12,30,13,15,8,0,0,5,14,10,12,22,17,20,21,25,9,23,17,15,17,21,7,15,2,0,0,0,22,11,15,14,12,23,18,18,26,16,14,8,13,3,12,13,10,16,8,7,9,13,10,13,8,13,0,7,17,25,15,20,9,8,987,13576.65863,0,13576.65863,1,0
Red Bundle of 3,16654,PTRedBun3,Petale Tea,Home & Gifts Enterprise(Petale Tea),F&B,"BEVERAGES, HOT, SPECIALITY TEA",2,1,1,6,0,2,2,1,0,3,3,2,3,2,0,26,0,3,4,3,2,0,0,0,6,0,1,2,0,0,0,0,1,4,3,0,0,2,0,0,2,0,0,3,3,9,1,7,10,15,24,3,1,0,0,1,0,0,3,0,0,0,2,0,1,0,0,0,3,1,2,0,1,0,0,3,0,0,180,12630.066,0,12630.066,1,0
Iryasa Miscellaneous,16759,Iryasa-MISC,Iryasa,Herbs in Sync Pte. Ltd (Iryasa),HOME,Misc,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,5,3,14,5,0,1,1,1,6,7,6,8,5,5,1,3,0,4,3,4,1,2,2,9,2,3,6,2,3,0,117,9580.86102,0,9580.86102,1,0
Classic White Assorted,14929,PTWhite12,Petale Tea,Home & Gifts Enterprise(Petale Tea),F&B,"BEVERAGES, HOT, SPECIALITY TEA",2,1,3,3,1,2,2,1,1,3,1,2,1,1,1,23,1,8,2,1,1,0,2,2,0,0,1,3,2,5,2,1,2,3,2,1,1,0,1,2,2,0,1,2,0,1,3,6,8,15,20,1,2,2,1,3,2,1,1,1,2,5,2,1,7,2,2,3,3,0,1,0,1,2,3,0,1,0,198,9322.44,0,9322.44,1,0
Bespoke tea blend,22484,TeaBlend,Petale Tea,Home & Gifts Enterprise(Petale Tea),F&B,"BEVERAGES, HOT, SPECIALITY TEA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,6,5,1,15,4,7,2,6,4,8,1,2,8,1,3,5,6,1,12,19,26,33,10,9,7,6,6,1,2,3,4,2,4,10,1,9,1,6,4,8,8,16,6,8,1,7,3,3,0,330,8962.62894,0,8962.62894,1,0
Petite Red Assorted,14928,PTRed6,Petale Tea,Home & Gifts Enterprise(Petale Tea),F&B,"BEVERAGES, HOT, SPECIALITY TEA",2,2,0,5,0,4,4,1,2,3,9,4,2,2,0,29,1,2,2,0,2,3,3,1,2,0,1,4,4,2,1,0,1,1,2,0,3,1,0,2,2,0,0,0,0,5,4,6,14,33,36,0,1,2,3,1,1,1,0,1,3,3,1,0,1,1,1,1,3,2,2,2,1,3,4,1,1,0,247,7111.96681,0,7111.96681,1,0
White Bundle of 3,16655,PTWhiteBun12,Petale Tea,Home & Gifts Enterprise(Petale Tea),F&B,"BEVERAGES, HOT, SPECIALITY TEA",0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,5,0,0,1,0,2,0,1,0,1,2,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,1,1,3,0,6,5,0,0,2,1,0,0,2,0,0,0,2,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,49,5572.01619,0,5572.01619,1,0
Freedom Cup Mini,11026,FCMINI,Freedom Cups,Freedom Cups,HEALTH & WELLNESS,Healthcare,2,5,1,1,2,5,3,3,2,1,1,0,0,0,0,0,2,3,4,1,0,1,1,2,2,4,1,0,1,3,4,8,5,0,4,1,2,2,2,3,3,1,1,1,2,1,1,1,1,0,0,3,0,1,0,1,0,2,2,0,2,2,2,3,3,3,3,1,2,4,1,1,2,3,5,5,2,0,147,5240.69285,0,5240.69285,1,0
Desi Hangover Miscellaneous,14276,DESI-MISC,Desi Hangover,Arken Enterprises(Desi),HOME,Misc,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,2,1,0,0,1,0,0,1,0,0,2,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,1,1,2,1,0,2,1,30,5142.33333,0,5142.33333,1,0
