Supplier,21st Jun 2021,28th Jun 2021,5th Jul 2021,12th Jul 2021,19th Jul 2021,26th Jul 2021,2nd Aug 2021,9th Aug 2021,16th Aug 2021,23rd Aug 2021,30th Aug 2021,6th Sep 2021,13th Sep 2021,20th Sep 2021,27th Sep 2021,4th Oct 2021,11th Oct 2021,18th Oct 2021,25th Oct 2021,1st Nov 2021,8th Nov 2021,15th Nov 2021,22nd Nov 2021,29th Nov 2021,6th Dec 2021,13th Dec 2021,20th Dec 2021,27th Dec 2021,3rd Jan 2022,10th Jan 2022,17th Jan 2022,24th Jan 2022,31st Jan 2022,7th Feb 2022,14th Feb 2022,21st Feb 2022,28th Feb 2022,7th Mar 2022,14th Mar 2022,21st Mar 2022,28th Mar 2022,4th Apr 2022,11th Apr 2022,18th Apr 2022,25th Apr 2022,2nd May 2022,9th May 2022,16th May 2022,23rd May 2022,30th May 2022,6th Jun 2022,13th Jun 2022,20th Jun 2022,27th Jun 2022,4th Jul 2022,11th Jul 2022,18th Jul 2022,25th Jul 2022,1st Aug 2022,8th Aug 2022,15th Aug 2022,22nd Aug 2022,29th Aug 2022,5th Sep 2022,12th Sep 2022,19th Sep 2022,26th Sep 2022,3rd Oct 2022,10th Oct 2022,17th Oct 2022,24th Oct 2022,31st Oct 2022,7th Nov 2022,14th Nov 2022,21st Nov 2022,28th Nov 2022,5th Dec 2022,12th Dec 2022,19th Dec 2022,26th Dec 2022,2nd Jan 2023,9th Jan 2023,16th Jan 2023,23rd Jan 2023,30th Jan 2023,6th Feb 2023,13th Feb 2023,20th Feb 2023,27th Feb 2023,6th Mar 2023,13th Mar 2023,20th Mar 2023,27th Mar 2023,3rd Apr 2023,10th Apr 2023,17th Apr 2023,24th Apr 2023,1st May 2023,8th May 2023,15th May 2023,22nd May 2023,29th May 2023,5th Jun 2023,12th Jun 2023,19th Jun 2023,Items Sold,Revenue,Cost of Goods Sold,Gross Profit,Margin (%),Tax
The Period Co.,31,55,46,55,42,29,27,35,41,38,44,36,38,49,63,42,44,49,56,44,54,38,51,62,65,59,40,39,53,46,34,53,40,35,36,40,37,33,33,34,43,46,43,52,53,23,38,39,26,43,22,40,54,35,28,26,41,47,23,45,35,30,25,41,38,24,31,38,46,34,31,32,48,39,19,39,38,30,41,34,27,24,22,51,37,34,27,35,39,42,49,32,36,26,37,56,51,40,37,22,45,41,52,42,34,4144,131273.18763,0,131273.18762,1,0
You Living,19,24,15,48,31,21,15,22,12,21,25,25,16,18,15,15,21,9,20,29,21,16,35,35,62,54,77,51,39,26,30,37,23,20,34,20,22,28,33,18,24,30,30,43,35,33,40,43,34,42,21,25,17,18,22,29,37,24,26,46,33,33,31,34,26,37,33,37,31,29,31,24,70,53,38,65,73,70,114,42,27,51,14,39,23,10,27,11,19,17,24,22,23,32,34,45,22,41,37,22,41,62,37,28,30,3363,103077.22501,0.59296,103076.63204,0.99999,0
Home & Gifts Enterprise(Petale Tea),8,6,11,12,9,6,6,11,23,8,18,16,12,5,6,7,11,10,16,40,22,19,16,55,152,184,198,16,25,9,17,32,10,21,22,12,11,23,36,22,23,40,36,238,12,20,29,13,17,5,17,9,19,18,11,32,71,69,13,16,27,27,28,21,30,57,26,12,32,17,16,19,30,33,24,90,84,135,173,38,22,27,18,29,16,20,12,15,23,27,25,8,23,13,20,18,27,21,39,21,22,22,22,16,12,3288,100520.49509,0,100520.49509,1,0
Herbs in Sync Pte. Ltd (Iryasa),7,10,12,19,7,15,13,18,19,11,22,8,23,13,6,0,1,7,8,17,12,9,16,48,23,16,22,13,3,10,8,17,24,22,25,6,9,4,62,12,33,18,26,300,13,7,21,9,14,6,4,13,4,8,24,11,29,12,29,62,28,22,41,23,33,24,20,38,23,33,38,27,28,13,26,27,60,72,107,57,35,27,20,50,43,67,42,34,32,45,20,36,14,31,32,39,25,27,22,27,34,28,48,42,25,2825,81448.75006,0,81448.75006,1,0
Oasis Botanicals LLP,9,22,28,12,28,18,13,18,30,14,33,16,22,15,19,16,22,13,16,9,31,16,33,36,31,51,47,37,28,35,27,32,17,13,14,21,12,27,30,30,14,34,34,28,28,18,19,26,19,33,23,46,51,37,31,28,34,35,45,73,32,41,47,43,49,40,57,54,54,39,71,68,116,49,53,97,100,111,89,72,62,57,35,64,64,52,50,52,47,80,61,41,49,56,49,68,76,70,111,74,96,105,91,94,111,4594,77074.00626,0,77074.00626,1,0
Bamboo Straw Girl,54,68,92,49,40,51,66,74,84,65,55,31,35,64,73,61,53,54,57,54,101,44,88,103,92,53,162,107,64,94,45,89,77,59,68,42,45,54,59,78,58,31,54,41,43,45,68,62,49,54,24,48,75,47,48,67,45,53,56,102,42,75,42,58,52,49,46,55,34,33,39,37,87,65,70,103,133,168,143,110,89,50,58,54,68,60,55,74,62,87,58,54,54,62,55,52,56,62,28,29,62,64,66,81,66,6721,72789.6345,0,72789.6345,1,0
Innerfyre Co,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,4,17,15,24,28,42,38,43,11,10,9,9,16,9,13,13,8,11,16,11,5,6,6,8,146,18,20,18,23,16,11,19,12,18,15,13,11,15,6,12,19,16,18,20,17,17,14,9,24,17,6,21,10,23,42,24,59,126,167,189,61,25,20,14,22,17,31,33,34,20,38,22,28,24,22,29,28,29,54,35,23,24,32,18,22,30,2329,63197.47176,0,63197.47176,1,0
Ma Te Sai,16,12,17,17,8,23,5,9,10,18,21,9,15,13,7,17,16,18,16,42,39,44,32,67,50,95,78,39,27,17,9,13,37,21,26,16,21,28,13,20,24,21,17,8,12,15,29,15,29,16,27,28,9,29,19,28,25,14,27,16,16,11,15,12,14,18,12,15,28,19,21,13,19,38,29,35,60,48,53,25,15,37,21,22,13,17,7,15,23,29,31,13,18,18,29,31,30,52,42,14,24,21,48,31,23,2534,49310.12832,0,49310.12831,1,0
Indosole,4,7,2,7,6,1,5,8,4,5,6,1,11,4,5,4,10,5,4,3,17,5,7,9,10,9,12,8,11,6,9,8,21,6,6,5,11,10,14,7,4,5,6,4,7,16,12,17,9,11,11,7,8,5,7,4,3,8,4,9,5,7,6,5,8,5,9,5,7,4,13,3,18,10,12,6,8,9,15,11,6,15,9,13,13,17,10,7,13,10,9,7,8,4,4,9,7,4,7,10,7,10,12,10,7,844,44553.8931,0,44553.8931,1,0
Touch The Toes,4,3,4,4,3,3,4,7,3,5,8,2,3,7,5,3,4,8,2,1,14,2,5,5,2,4,6,3,7,4,2,3,4,5,2,1,3,8,2,2,0,1,1,5,1,1,2,5,2,2,2,2,1,4,8,6,4,1,9,4,5,1,8,2,9,1,9,2,2,1,4,3,1,5,8,6,6,9,13,3,3,10,5,4,4,7,4,1,4,11,5,5,10,6,3,6,2,2,6,6,5,8,6,8,4,461,42833.73552,0,42833.73552,1,0
