Supplier,21st Jun 2021,28th Jun 2021,5th Jul 2021,12th Jul 2021,19th Jul 2021,26th Jul 2021,2nd Aug 2021,9th Aug 2021,16th Aug 2021,23rd Aug 2021,30th Aug 2021,6th Sep 2021,13th Sep 2021,20th Sep 2021,27th Sep 2021,4th Oct 2021,11th Oct 2021,18th Oct 2021,25th Oct 2021,1st Nov 2021,8th Nov 2021,15th Nov 2021,22nd Nov 2021,29th Nov 2021,6th Dec 2021,13th Dec 2021,20th Dec 2021,27th Dec 2021,3rd Jan 2022,10th Jan 2022,17th Jan 2022,24th Jan 2022,31st Jan 2022,7th Feb 2022,14th Feb 2022,21st Feb 2022,28th Feb 2022,7th Mar 2022,14th Mar 2022,21st Mar 2022,28th Mar 2022,4th Apr 2022,11th Apr 2022,18th Apr 2022,25th Apr 2022,2nd May 2022,9th May 2022,16th May 2022,23rd May 2022,30th May 2022,6th Jun 2022,13th Jun 2022,20th Jun 2022,27th Jun 2022,4th Jul 2022,11th Jul 2022,18th Jul 2022,25th Jul 2022,1st Aug 2022,8th Aug 2022,15th Aug 2022,22nd Aug 2022,29th Aug 2022,5th Sep 2022,12th Sep 2022,19th Sep 2022,26th Sep 2022,3rd Oct 2022,10th Oct 2022,17th Oct 2022,24th Oct 2022,31st Oct 2022,7th Nov 2022,14th Nov 2022,21st Nov 2022,28th Nov 2022,5th Dec 2022,12th Dec 2022,19th Dec 2022,26th Dec 2022,2nd Jan 2023,9th Jan 2023,16th Jan 2023,23rd Jan 2023,30th Jan 2023,6th Feb 2023,13th Feb 2023,20th Feb 2023,27th Feb 2023,6th Mar 2023,13th Mar 2023,20th Mar 2023,27th Mar 2023,3rd Apr 2023,10th Apr 2023,17th Apr 2023,24th Apr 2023,1st May 2023,8th May 2023,15th May 2023,22nd May 2023,29th May 2023,5th Jun 2023,12th Jun 2023,19th Jun 2023,Sale Count,Revenue,Cost of Goods Sold,Gross Profit,Margin (%),Tax
The Period Co.,23,35,29,35,31,18,18,23,30,24,31,23,26,33,37,34,28,32,37,32,41,28,32,40,42,43,30,27,36,31,25,30,24,22,29,27,22,28,24,23,31,27,30,36,32,17,29,24,17,29,18,27,29,28,19,17,25,28,18,31,23,23,20,23,26,19,24,27,25,24,24,26,33,30,15,23,24,25,28,25,22,17,18,31,25,23,22,24,28,28,30,26,29,19,27,32,35,23,23,15,27,25,27,31,7,2796,130460.25763,0,130460.25762,1,0
You Living,16,12,14,28,25,17,15,19,9,17,20,18,14,14,13,12,17,8,15,20,19,13,25,26,46,42,57,41,25,20,25,28,15,17,26,16,18,22,25,14,19,21,24,33,27,30,30,32,25,30,14,22,14,16,16,21,26,22,17,30,26,21,23,27,24,20,22,28,19,26,23,19,42,37,29,45,46,49,66,31,22,28,14,30,17,8,22,11,17,14,19,17,21,23,25,32,21,32,27,19,28,36,33,21,9,2481,101733.33553,0.59296,101732.74256,0.99999,0
Home & Gifts Enterprise(Petale Tea),8,7,7,9,6,4,4,10,12,7,13,8,4,5,4,7,6,8,10,7,18,15,11,28,91,106,129,11,15,8,6,20,9,15,12,12,9,18,22,15,9,17,18,132,6,16,17,10,12,4,13,9,11,7,8,19,32,28,11,12,18,18,18,17,17,25,13,10,18,13,11,14,15,18,19,41,53,101,133,22,19,16,14,21,12,14,10,11,15,21,18,4,16,9,16,12,20,17,29,13,19,13,16,12,6,2074,100423.49509,0,100423.49509,1,0
Herbs in Sync Pte. Ltd (Iryasa),5,6,9,6,7,5,5,8,8,6,6,5,7,11,4,0,1,6,7,10,7,4,5,18,11,8,13,6,2,5,4,8,13,15,12,5,7,4,24,7,17,10,12,169,9,3,11,6,11,3,2,8,4,6,15,8,15,9,16,33,14,17,26,14,16,14,13,18,15,18,18,17,17,10,21,17,32,40,60,32,22,20,10,32,28,36,28,20,22,30,14,22,11,19,19,18,14,21,15,18,20,20,25,25,7,1612,80950.20006,0,80950.20006,1,0
Oasis Botanicals LLP,9,14,19,9,19,11,8,12,21,11,21,11,14,10,13,10,14,11,10,8,22,12,16,18,18,33,28,21,18,22,12,24,14,11,12,12,9,18,20,16,9,15,27,19,20,15,14,17,14,17,18,31,34,23,26,20,22,21,33,42,27,32,30,30,37,28,40,37,38,30,49,44,55,34,34,55,60,58,52,51,44,36,24,41,45,34,37,40,35,55,43,28,34,32,31,49,49,50,70,49,62,66,59,53,20,2955,76145.80626,0,76145.80626,1,0
Bamboo Straw Girl,34,49,55,34,29,31,49,54,60,47,36,22,26,49,49,43,44,37,36,43,44,35,45,68,55,39,89,62,49,51,34,58,51,40,50,29,30,38,40,49,38,28,44,27,34,34,44,44,34,32,20,36,48,32,34,45,38,38,40,47,31,49,28,45,31,34,30,37,25,21,27,26,44,46,40,62,56,85,88,63,52,36,36,32,45,37,40,39,43,51,39,42,37,46,31,38,37,46,19,21,38,41,47,51,14,4346,72237.4345,0,72237.4345,1,0
Innerfyre Co,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,4,12,9,18,19,26,22,29,7,8,7,7,12,8,10,12,6,11,14,10,5,5,6,8,98,15,16,13,13,10,9,14,7,13,12,12,10,15,6,10,15,13,15,14,12,15,10,9,18,16,4,13,10,18,24,24,42,66,107,100,44,15,17,12,20,12,27,23,21,18,26,19,23,20,21,18,22,23,36,23,19,18,26,15,17,10,1644,62872.84176,0,62872.84176,1,0
Ma Te Sai,11,10,11,12,6,10,5,8,10,9,14,6,11,8,7,15,11,11,8,17,20,20,16,37,25,45,37,22,15,14,8,12,24,11,14,15,11,17,9,12,16,16,10,6,10,12,20,13,24,13,16,20,7,15,15,14,14,11,11,11,11,10,12,10,12,10,10,13,14,13,15,10,14,19,17,20,31,28,33,16,9,19,12,16,10,10,7,11,17,18,23,7,12,14,15,19,19,27,27,14,15,15,26,25,4,1567,49134.62832,0,49134.62831,1,0
Indosole,3,5,2,6,5,1,5,8,3,5,6,1,9,5,4,4,9,5,4,3,17,4,6,8,7,9,12,11,11,6,9,8,11,7,6,5,9,9,10,7,3,6,7,6,7,14,8,14,9,9,9,6,8,5,7,3,3,8,4,8,4,7,6,5,6,5,6,5,8,4,10,3,18,10,6,6,7,8,12,11,6,13,9,10,11,15,9,5,13,9,9,6,6,4,4,7,8,3,6,8,7,9,8,10,7,758,44443.8931,0,44443.8931,1,0
Touch The Toes,3,3,4,4,1,3,4,6,3,5,6,2,2,5,5,3,4,6,2,1,7,2,3,4,2,4,5,3,6,4,2,3,4,5,2,1,3,4,2,1,0,1,1,4,1,1,2,3,2,2,2,2,1,4,5,6,4,1,7,4,5,1,5,2,6,1,7,2,2,1,4,2,2,4,6,4,6,8,11,2,3,5,7,4,4,5,3,1,4,11,5,4,8,5,2,5,1,2,6,5,6,7,6,7,3,392,42778.73552,0,42778.73552,1,0
