Product,SKU,Supplier Code,Brand,Supplier,Category,Tag,Closing Inventory,Items Sold,Items Sold per Day,Sell-through Rate,Days Cover,Revenue,Gross Profit,Margin (%),Inventory Cost,Retail Value (Excl. Tax)
(Oasis X Sojao) Aroma Blend - Sleep In,24928,AB-SI,OASIS: Skin,Oasis Botanicals LLP,HEALTH & WELLNESS,"HEALTH & FITNESS, Others, Wellness",5,7,0.10769,0.58333,0,126,126,1,0,90
(Oasis X Sojao) Room/Linen Mist - Sleep In 100ml,24927,SleepIn100,OASIS: Skin,Oasis Botanicals LLP,HOME,"CANDLES & HOME FRAGRANCES, Decor, LIVING",2,1,0.0625,0.33333,0,72,72,1,0,144
(Oasis X Sojao) Room/Linen Mist - Sleep In 10ml,24925,SleepIn10,OASIS: Skin,Oasis Botanicals LLP,HOME,"CANDLES & HOME FRAGRANCES, Decor, LIVING",8,34,0.51515,0.80952,0,339,339,1,0,80
*Choco Hazelnut Crunch,19715,7.45E+11,TGCSG,Bakening,F&B,"BISCUITS AND CAKES, CRISPS, SNACKS & DRIED FRUITS, SHELF FOOD",2,130,0.15366,0.98485,0,992.906,215.6284,0.21717,12.38,15.8
*Lavender Crunch,19717,1111111286883,TGCSG,Bakening,F&B,"BISCUITS AND CAKES, SHELF FOOD",15,100,0.11751,0.86957,0,756.10337,155.67337,0.20589,92.85,118.5
*Sea Salt Crunch,19719,745114866523,TGCSG,Bakening,F&B,"BISCUITS AND CAKES, SHELF FOOD",8,102,0.12057,0.92727,0,767.282,154.472,0.20132,49.52,63.2
1 260ml glass bottle of 100% Pineapple Juice,24676,1PJ618,Faiz,Faiz Pte Ltd,F&B,"BEVERAGES, COLD, Others",18,79,0.79,0.81443,0,228.45,228.45,1,0,54
1 big 2 small gift set,19679,gift1b2s,Bernadette de Lavernette,Bunny Planet,F&B,"ESSENTIALS AND CONDIMENTS, SHELF FOOD",4,6,0.00745,0.6,0,317.75,317.75,1,0,220
1 bottle of 210g of 100% pineapple chilli jam,24679,1PCJM672,Faiz,Faiz Pte Ltd,F&B,"ESSENTIALS AND CONDIMENTS, Others, SHELF FOOD",15,25,0.2451,0.625,0,99.96,99.96,1,0,63
1 bottle of 210g of 100% pineapple jam,24680,1PJM658,Faiz,Faiz Pte Ltd,F&B,"ESSENTIALS AND CONDIMENTS, Others, SHELF FOOD",14,20,0.19417,0.58824,0,80.85,80.85,1,0,58.8
1 box of 6 bottles of 260ml 100% Pineapple Juice,24678,6PJ595,Faiz,Faiz Pte Ltd,F&B,"BEVERAGES, COLD, Others",4,13,0.1383,0.76471,0,183.6,183.6,1,0,61.2
1 packet of Dehydrated Pineapple,24682,1DP610,Faiz,Faiz Pte Ltd,F&B,"CRISPS, Others, SHELF FOOD, SNACKS & DRIED FRUITS",23,46,0.45098,0.66667,0,210.325,210.325,1,0,108.1
100% Cotton mesh shopping bag,15333,BSGBGME0001,Bamboo Straw Girl,Bamboo Straw Girl,FASHION,"BAGS, LADIES BAGS, UTILITY BASKETS",5,187,0.12627,0.97396,0,2396.5,2396.5,1,0,75
100% Cotton-Cake Ombre Yarn 200G,17613,TKSZ-CAKE,Cotton Kings,Taikensonzai,HOME,"ARTS & CRAFTS, CRAFTING SUPPLIES, CRAFTS",1,23,0.01876,0.95833,0,549.5,549.5,1,0,24
"100% Dark chocolate, unroasted cacao20gr",25610,LACHOC012,Juan Choconat,Los Andes Co,F&B,"CHOCOLATE, CONFECTIONERY, SHELF FOOD",8,2,0.125,0.2,0,4.4599,4.4599,1,0,20
100% Organic Cotton Yarn 8/4 50G Printed,17611,TKSZ-ORCO,Hobbii Rainbow,Taikensonzai,HOME,"ARTS & CRAFTS, CRAFTING SUPPLIES, CRAFTS",9,51,0.04177,0.85,0,305.4,305.4,1,0,54
100%Tencel Tape Yarn 100G,17609,TKSZ-WATGTT,Wool&TheGang,Taikensonzai,HOME,"ARTS & CRAFTS, CRAFTING SUPPLIES, CRAFTS",27,3,0.00278,0.1,0,57,57,1,0,513
100g bar soap - Ylang ylang,23499,BSGSPYLA,Bamboo Straw Girl,Bamboo Straw Girl,HEALTH & WELLNESS,"BATH & BODY, BODY SOAP, Personal care",6,8,0.06061,0.57143,0,93,93,1,0,72
12-PC Facial Round with Cream Pom Pom Pouch,16685,WW-YAS012-CREAM,Wellness Within,Wellness Within,HEALTH & WELLNESS,"ESSENTIALS, Personal care, WIPES",2,10,0.00746,0.83333,0,299,299,1,0,59.8
12-PC Facial Round with Grey Pom Pom Pouch,16686,WW-YAS012-GREY,Wellness Within,Wellness Within,HEALTH & WELLNESS,"ESSENTIALS, Personal care, WIPES",1,6,0.00445,0.85714,0,179.4,179.4,1,0,29.9
12-PC Facial Round with Indigo Pom Pom Pouch,20535,WW-YAS012-INDIGO,Wellness Within,Wellness Within,HEALTH & WELLNESS,"ESSENTIALS, Personal care, WIPES",2,3,0.01456,0.6,0,87.11713,87.11713,1,0,59.8
12-PC Facial Round with Muslin Pouch,20755,WW-YAS012-MUSLIN,Wellness Within,Wellness Within,HEALTH & WELLNESS,"ESSENTIALS, Personal care, WIPES",3,7,0.01205,0.7,0,175.602,175.602,1,0,77.7
