Supplier,3rd Jan 2022,10th Jan 2022,17th Jan 2022,24th Jan 2022,31st Jan 2022,7th Feb 2022,14th Feb 2022,21st Feb 2022,28th Feb 2022,7th Mar 2022,14th Mar 2022,21st Mar 2022,28th Mar 2022,4th Apr 2022,11th Apr 2022,18th Apr 2022,25th Apr 2022,2nd May 2022,9th May 2022,16th May 2022,23rd May 2022,30th May 2022,6th Jun 2022,13th Jun 2022,20th Jun 2022,27th Jun 2022,4th Jul 2022,11th Jul 2022,18th Jul 2022,25th Jul 2022,1st Aug 2022,8th Aug 2022,15th Aug 2022,22nd Aug 2022,29th Aug 2022,5th Sep 2022,12th Sep 2022,19th Sep 2022,26th Sep 2022,3rd Oct 2022,10th Oct 2022,17th Oct 2022,24th Oct 2022,31st Oct 2022,7th Nov 2022,14th Nov 2022,21st Nov 2022,28th Nov 2022,5th Dec 2022,12th Dec 2022,19th Dec 2022,26th Dec 2022,2nd Jan 2023,9th Jan 2023,16th Jan 2023,23rd Jan 2023,30th Jan 2023,6th Feb 2023,13th Feb 2023,20th Feb 2023,27th Feb 2023,6th Mar 2023,13th Mar 2023,20th Mar 2023,27th Mar 2023,3rd Apr 2023,10th Apr 2023,17th Apr 2023,24th Apr 2023,1st May 2023,8th May 2023,15th May 2023,22nd May 2023,29th May 2023,5th Jun 2023,12th Jun 2023,19th Jun 2023,Revenue,Cost of Goods Sold,Gross Profit,Margin (%),Tax
The Period Co.,1597.71,1628.44,1068.13,1475.198,1274,987.45,1076.4,1338.83,1063.4481,1049.96,1230.21,1158.24,1281.27,1669.95,1417.52,1518.79,1823.7,758.7,1360.2,1254.23,897.4,1191.7,617.8,1051.705,1730.6,1141.51,895.02,822.4,1399.04835,1405.15,692.22,1639.97,967.94,989.02,888.46,1213.09,1211.385,671.11,1237.81,1409.3,1410.29,1141.68,1188.91,1266.32,1774.302,1092.78,803.22,1315.11,1381.21,1117.6,1213.9,1083.01,1055.22,817.6687,839.34341,1256.76263,1241.19961,1085.21177,934.3,1101.86,1330.1,1077.745,1469.02,1056.15,1430.84557,992.92,1416.82,1900.1,1825.73,1219.32,1263.14,648.16,1312.01,1432.93,1816.95,1683.8,1083.16,94183.81314,0,94183.81313,1,0
You Living,1577,1029.12,1955.8,1765.16731,1346.86,658,1679.71,688.82,546.3,1120.3,940,657.9,1053.2,1313.35,683.05,1566.45,1045.7,930.4,1286.5,1101.5,1227.25,899.61,691.3,995.8,641.9,329.4,707.8,1130.22,1152.876,704.9,812.81,1290.43,893.2,858.9,878.9484,1022.55,1314.015,647.2,1100.44,1102.21,705.6,919.2,747.6,522.4,1760.86,1739.83,833.61,1310.6,1084.57,1403.64,1858.815,1532.87,832.5,1851.1,1143.37643,1693.58383,770.15,536.9,551.3,470.83333,460.5,382.335,708.45,984.8,826.6,985.75,1419.16,1286.4,748.6832,949.21,1722.16,1077.9,1695.6,1914.71,1783.9,1045.91681,1694.6407,83302.94101,0.29648,83302.64452,1,0
Herbs in Sync Pte. Ltd (Iryasa),61,180.99999,369.2,375.2,671.368,725.39999,614.49999,220,325,108.4,1546.14,383.79676,877.49999,430.49999,420.49999,12344.825,396.15,159.5,438.1,265.7,446.95,182,177,399.5,106,208.31,690.4,254.9,910.25,269.15,727.4425,1297.2,599.85,532.295,911.5575,438.21,817.5475,733.685,626.225,1167.93,417.54,897.3,883.26,623.8375,658.61,279.35,613.22,758.83,1659,1562.67,3293.6125,1469.175,964.55,663.58999,428.70936,1250.92893,1378.18649,2381.1,1647.25,1543.2,1097.6,1583.3625,699.955,1094.575,386.73559,934.05,1054.875,1117.8,540.15,725.71,858.6,1126.48,1111.13,914.25,1654.65,1002.01,909.05,72595.08506,0,72595.08506,1,0
Home & Gifts Enterprise(Petale Tea),734,242.2,521.28,1009.51269,377,590.6,577,278.55,325.2,928,1179.88,725.4,452.05,509.4,334.375,7152.775,378.8,736.8,1130.2,374.5,720.95,126,554.4,218.2,879,643.68,295,932.7,921.9,801.4,323.8,499.9,892.8,830.5,786.85,519.9,769.45,907.15,499.25,429.6,733.875,466,537.8,674.3,729.168,1403.5,848.1,3072.3,2876.14,5434.7,6989.2,983.5,830.2,867.24,553.6,753.70648,426.15878,773.65,452,509,604.3952,805.8,921,166,775.4,284.2,772.6,533.4,762.65,575.6,1037.6,640,736.4,529,619.8,573.86894,303,71664.80509,0,71664.80509,1,0
Oasis Botanicals LLP,525.1,520,442.9,526.84,292.52,210.9,215.5,314,196,492.4,478.6,447,208,431.5,538.4,385.63,460.4,318.5,249,464,353,587.8,393.7,787.7,793.7,647.4,553,475.9,525.01,578,639,1226.17102,515.9,742,748.265,844.47,955.6,636.3,992.2,866.2,861.31,824.71,1197.90578,1226.21,1985.074,911,1024.47,1463.1,1800.815,1878.995,1517.915,1180.885,983.76,1055.45345,642.30535,1142.60076,1155.30677,883.60953,818.7,858.2,753,1272.885,1069.8,645.205,747.9,910.8,718.42,1353.35,1233.96461,1175.9,2080.8,1248.05,1516.21,1716.3,1511.74,1340.20999,1699.3,65984.66626,0,65984.66626,1,0
Innerfyre Co,396,351,331.8,538.6,329.6,504,508,308,407.3,617,393.2,200,240,236,312,4521.8,597.7,647.2,601.64,783.8,400.4,317.4,504.2,345.2,523.2,437,396.82,264.8,396.60218,213.2,423.6,549.08,447.8,563.4,570.82,487.4,548.22,355.42,255,643.28,477,173.7,660.52,336.2,669.76,946.82,500.4,1301.04,2618.75,3508.5,4156.41,1480.92,542.4,581.3,413.01497,453.77081,375.4648,839.4,832.6,1021.4,522.6,982.43,620.8,708.2,550.02,609,749.52,671.46,634.6,1150.1,886.8,644.3,626.4,782.2,485.6,532.5,711.75,55225.13276,0,55225.13276,1,0
Bamboo Straw Girl,772.05,986.5,462.7,841.268,764.26,698.4,847.46,585,293.6219,610.7,547.35,898.3,644.8,393.9,714.2,402.55,520.05,599.3,664.4,776.675,588.4,467.7,245.55,441.9,655.8,463.25,506.3,803,445.825,582.4,589.85,1076.6,442.45,831.7,479.5,539,544.6,494.81,501.75,478.12,303.1,162.95,334,310.9,852.946,627.4,677.51,984.41215,1448.7,1936.31,1714.05,1120.74294,980.2,554.32174,605.98701,483.2685,688.43416,494,685.81,771.55,566.91,680.835,662.22,718.469,638.8675,703,462.41,702.11,651.95462,752.36497,346.31,344.2,593.3,952,636.8,823.6,753.91,50927.84349,0,50927.84349,1,0
Ma Te Sai,446.71,516.5,136.6,308.68,914.8,311.2,567.55,518.4,423.89375,563.65,195.2,446.9,699,531.4,269.95822,300.35,299.12,474.9,814.7,516.3,860.4,317,516.4,542.2,210.6,405.2,452,640.9,462.6,226,450.1,428.61,652.5,284,605.35,249.1,577.9,385.3992,137.2,439.02,590.94,535.3,655.8,166.5,362.502,698.91,380.2,569.80002,776.21,866.55,845.975,359.9,286,670.68,325.81223,574.89758,268.9,242.9,157.8,220.9,413.4,585.875,654.7,387.5,397.15,681,708.2,808,434.3568,741.7,614.6,265.05,368.6,402.2,1130,849.53888,351.8,37448.43868,0,37448.43867,1,0
Indosole,594.1,237.3,411.3,358.98,1017.4,306.8,326.4,267.2,568.37,483.7,669.3,404.2,216,261,293.1,150.15,365,890,683.1,936.3,498.1,651,631,427,434,277.5,431.5,240,179,456.5,220,521,303,445,365,310.1,473.8,276.6,513.5,309,453,176.5,662,199,889.64,509,678,252,430.5,461.5,719.25,672.6,368,842.65,443.72607,696.72656,623.5,788.15047,499.5,321.75,580.75,452,389.5,296.5,425.5,189.1,228,554.5,416,227.1,391.6,580,441.5,550.6,848,529.8,314,35503.7431,0,35503.7431,1,0
Touch The Toes,728,659,197,378.84,315.16,353,338,18,411,619,348,147,0,119,240,480.15,69,215,207,709,8,184,36,154,38,522,460,563,570.9,36,611.5,512.5,380,4,435,103,1096.2,133.2,1065.5,545,93,38,351,224,89.7,359,913.8,295,452.95,677.2,785,74,413,644.7,746.25843,210.75408,581.23833,823,538,38,436,1139.7,622,314,1350.7,490,490,270.2,338.53468,193,332,472.4,586,924,417,928.7,600,32260.78552,0,32260.78552,1,0
